,DATETIME,TEMPERATURE,HUMIDITY
0,2015-01-01,20.333333333333332,83.20833333333333
1,2015-01-02,23.041666666666668,76.20833333333333
2,2015-01-03,24.375,76.75
3,2015-01-04,23.916666666666668,68.25
4,2015-01-05,21.25,51.375
5,2015-01-06,19.791666666666668,49.833333333333336
6,2015-01-07,19.333333333333332,47.333333333333336
7,2015-01-08,19.875,44.5
8,2015-01-09,19.666666666666668,50.166666666666664
9,2015-01-10,19.375,46.083333333333336
10,2015-01-11,18.291666666666668,36.916666666666664
11,2015-01-12,18.458333333333332,30.791666666666668
12,2015-01-13,19.25,33.75
13,2015-01-14,20.166666666666668,46.041666666666664
14,2015-01-15,21.166666666666668,44.625
15,2015-01-16,21.791666666666668,46.666666666666664
16,2015-01-17,21.166666666666668,34.875
17,2015-01-18,19.416666666666668,34.333333333333336
18,2015-01-19,18.416666666666668,39.875
19,2015-01-20,19.416666666666668,39.166666666666664
20,2015-01-21,19.541666666666668,30.958333333333332
21,2015-01-22,20.666666666666668,33.916666666666664
22,2015-01-23,21.25,37.0
23,2015-01-24,22.625,43.541666666666664
24,2015-01-25,22.291666666666668,47.875
25,2015-01-26,21.708333333333332,41.291666666666664
26,2015-01-27,22.833333333333332,46.125
27,2015-01-28,23.375,54.375
28,2015-01-29,23.041666666666668,55.666666666666664
29,2015-01-30,21.416666666666668,48.583333333333336
30,2015-01-31,19.333333333333332,35.416666666666664
31,2015-02-01,19.458333333333332,31.208333333333332
32,2015-02-02,20.5,32.416666666666664
33,2015-02-03,22.375,30.166666666666668
34,2015-02-04,23.458333333333332,33.375
35,2015-02-05,24.666666666666668,39.375
36,2015-02-06,23.0,34.875
37,2015-02-07,21.5,27.125
38,2015-02-08,23.416666666666668,34.541666666666664
39,2015-02-09,23.458333333333332,41.833333333333336
40,2015-02-10,24.083333333333332,43.958333333333336
41,2015-02-11,23.75,34.208333333333336
42,2015-02-12,23.041666666666668,32.583333333333336
43,2015-02-13,23.25,43.291666666666664
44,2015-02-14,23.333333333333332,40.708333333333336
45,2015-02-15,24.541666666666668,53.875
46,2015-02-16,24.875,58.375
47,2015-02-17,25.0,58.75
48,2015-02-18,25.416666666666668,67.33333333333333
49,2015-02-19,26.083333333333332,62.708333333333336
50,2015-02-20,25.708333333333332,55.875
51,2015-02-21,26.0,47.541666666666664
52,2015-02-22,26.541666666666668,44.583333333333336
53,2015-02-23,26.583333333333332,52.208333333333336
54,2015-02-24,26.958333333333332,49.541666666666664
55,2015-02-25,27.208333333333332,48.5
56,2015-02-26,27.166666666666668,59.041666666666664
57,2015-02-27,27.083333333333332,57.708333333333336
58,2015-02-28,27.25,55.083333333333336
59,2015-03-01,27.083333333333332,48.875
60,2015-03-02,27.25,45.875
61,2015-03-03,26.666666666666668,50.5
62,2015-03-04,26.291666666666668,57.5
63,2015-03-05,25.041666666666668,35.25
64,2015-03-06,24.208333333333332,31.166666666666668
65,2015-03-07,24.541666666666668,28.166666666666668
66,2015-03-08,25.416666666666668,30.916666666666668
67,2015-03-09,27.208333333333332,27.708333333333332
68,2015-03-10,24.291666666666668,38.291666666666664
69,2015-03-11,27.666666666666668,47.625
70,2015-03-12,27.375,45.125
71,2015-03-13,27.041666666666668,42.708333333333336
72,2015-03-14,27.166666666666668,41.125
73,2015-03-15,27.5,42.375
74,2015-03-16,27.166666666666668,43.75
75,2015-03-17,27.708333333333332,47.75
76,2015-03-18,28.166666666666668,49.625
77,2015-03-19,26.291666666666668,44.375
78,2015-03-20,27.375,35.583333333333336
79,2015-03-21,28.291666666666668,34.666666666666664
80,2015-03-22,28.041666666666668,36.208333333333336
81,2015-03-23,29.416666666666668,40.291666666666664
82,2015-03-24,28.916666666666668,58.458333333333336
83,2015-03-25,29.208333333333332,59.958333333333336
84,2015-03-26,29.125,61.833333333333336
85,2015-03-27,29.625,59.166666666666664
86,2015-03-28,29.75,58.958333333333336
87,2015-03-29,29.291666666666668,62.875
88,2015-03-30,29.666666666666668,63.375
89,2015-03-31,29.791666666666668,44.666666666666664
90,2015-04-01,30.125,55.625
91,2015-04-02,31.083333333333332,56.166666666666664
92,2015-04-03,31.916666666666668,48.333333333333336
93,2015-04-04,31.583333333333332,61.666666666666664
94,2015-04-05,30.041666666666668,71.25
95,2015-04-06,28.75,75.45833333333333
96,2015-04-07,29.708333333333332,67.70833333333333
97,2015-04-08,30.208333333333332,64.70833333333333
98,2015-04-09,31.541666666666668,45.083333333333336
99,2015-04-10,31.166666666666668,51.916666666666664
100,2015-04-11,31.416666666666668,56.625
101,2015-04-12,30.375,54.25
102,2015-04-13,31.75,53.166666666666664
103,2015-04-14,31.666666666666668,52.083333333333336
104,2015-04-15,31.791666666666668,53.0
105,2015-04-16,32.208333333333336,41.541666666666664
106,2015-04-17,31.666666666666668,45.583333333333336
107,2015-04-18,32.125,49.583333333333336
108,2015-04-19,31.916666666666668,59.083333333333336
109,2015-04-20,31.958333333333332,60.458333333333336
110,2015-04-21,33.166666666666664,55.416666666666664
111,2015-04-22,32.708333333333336,61.958333333333336
112,2015-04-23,33.5,48.0
113,2015-04-24,30.583333333333332,61.0
114,2015-04-25,28.625,63.375
115,2015-04-26,28.125,62.958333333333336
116,2015-04-27,29.416666666666668,59.416666666666664
117,2015-04-28,32.5,56.958333333333336
118,2015-04-29,30.25,66.625
119,2015-04-30,29.916666666666668,71.66666666666667
120,2015-05-01,31.625,65.04166666666667
121,2015-05-02,30.541666666666668,71.04166666666667
122,2015-05-03,31.75,65.0
123,2015-05-04,32.541666666666664,58.125
